horizon,svar_iv_ebp_fvd,svar_iv_ebp_fvd_ci90_lower,svar_iv_ebp_fvd_ci90_upper
1,0.18940043714871974,0.018558676053650757,0.4804332836800747
2,0.1967882223415289,0.029759963473293807,0.47099421021983234
3,0.21234422957109267,0.03503488204397924,0.4835051939406454
4,0.19989602345610977,0.03061289271885095,0.4747684934349007
5,0.19190771920882796,0.029390364216950612,0.4709393984222976
6,0.1892665712751299,0.028041194962609848,0.46721182317114895
7,0.18836105768844516,0.027156446724987116,0.46865771862921213
8,0.18649581218354191,0.026398033141474635,0.46942005818278937
9,0.18602435032597373,0.02645260962860085,0.4733707788311977
10,0.18633127784136755,0.02673516620605434,0.47586248035696604
11,0.18694606788395557,0.026915142923991664,0.47825798611978093
12,0.1877749701022123,0.026971981249563928,0.482690784094067
13,0.18897883778717559,0.026843951544850923,0.48513664470163675
14,0.1903702977743673,0.027777813888963738,0.48730015697238727
15,0.19185519237574464,0.02892468672415564,0.48931085781468897
16,0.19340877298541317,0.029768852485569545,0.49552161194578453
17,0.19501086388922662,0.03126522037704827,0.49811734357723575
18,0.1966093933411584,0.03197949901842123,0.49970871706342224
19,0.1981788330686298,0.03264076451900558,0.500424403610334
20,0.19970387426089772,0.03380868326143097,0.5020770103386577
21,0.2011690870089795,0.03529196715235016,0.5026081027395359
22,0.2025596791312578,0.03631150003113448,0.5031892718062849
23,0.20386749844931787,0.037084430465974816,0.5036874849661758
24,0.20508693244935963,0.03818527100878545,0.5035994773486513
25,0.20621383324614703,0.03862105398544865,0.5031269054480776
26,0.2072459898466144,0.039205851741893914,0.5027551566766721
27,0.2081832905516436,0.03989839384558024,0.5032880621664143
28,0.20902685550210295,0.04092392532329739,0.5036051893334086
29,0.2097788572161819,0.04177867537058671,0.5041762353613822
30,0.2104424422061946,0.04240953663595408,0.5034632877450288
31,0.21102153075301736,0.04252731674821312,0.5001034101721963
32,0.2115205730141768,0.04384009732509596,0.4993694700976384
33,0.2119444260564489,0.044395307827967585,0.4985995904233123
34,0.21229823193539601,0.04458986243654441,0.4976763874163434
35,0.21258729180713282,0.045009484874671546,0.49737862633761176
36,0.2128169599081157,0.04565054844504392,0.49625858080471164
