horizon,identified_lower,identified_upper,identified_midpoint,posterior_median,credible_68_lower,credible_68_upper,median_minus_midpoint
0,-6.0632280911295675,2.6574702944820587,-1.7028788983237544,-2.7616140656462083,-4.94945742855779,-0.17218389151899774,-1.0587351673224539
1,-1.177792605390806,0.5733270621963671,-0.3022327715972195,-0.6194746639451891,-1.0486657969648525,-0.010404623530735133,-0.3172418923479696
2,-1.150713188683189,0.38033498326576115,-0.38518910270871387,-0.6652706672491286,-1.0480944141798831,-0.09926751563069314,-0.2800815645404148
3,-1.4892775216418424,0.4627404610510827,-0.5132685302953799,-0.7782168590273787,-1.2803848652020025,-0.20207219176693383,-0.2649483287319988
4,-1.2761715330622594,0.1970249200030572,-0.5395733065296011,-0.7954230044743124,-1.1530505857908138,-0.3238239786154008,-0.25584969794471124
5,-0.7553045519975139,0.4095721492693619,-0.172866201364076,-0.2963856191449793,-0.5903133984096591,0.072149167075093,-0.1235194177809033
6,-1.372698089089095,1.3251521136033309,-0.023772987742882057,-0.008030007363904204,-0.8601336906380469,0.8316623233670061,0.015742980378977853
7,-0.39929902255833766,0.5490894414756337,0.074895209458648,0.15803160871866093,-0.16434376643364693,0.4216203136748575,0.08313639926001293
8,-0.7969850209058204,0.7740690202009917,-0.011458000352414344,-0.024307397638978802,-0.5091474795729898,0.4677217787262809,-0.012849397286564458
9,-0.7316323970935065,0.8351257888228848,0.05174669586468916,-0.0016619110401495365,-0.4275184569315832,0.4668093010721177,-0.0534086069048387
10,-0.6469685178924199,1.2474233552747107,0.3002274186911454,0.4830438466481562,-0.155929789529068,1.0034192724078388,0.1828164279570108
11,-0.08945943960012281,0.16021914800989445,0.03537985420488582,0.08896956604808931,0.005095307932372964,0.14499417424923572,0.05358971184320349
12,-0.042957225377274116,0.7637103616298817,0.3603765681263038,0.5207337710784085,0.2508530971155366,0.7045204404013918,0.16035720295210465
13,-0.20715233987838377,0.673858198910402,0.2333529295160091,0.3496174952237147,0.044071432897286024,0.5896556847865033,0.1162645657077056
14,-0.18335912790949593,0.6005592665260008,0.20860006930825242,0.37629321945825306,0.11537700457470966,0.5473531791287405,0.16769315015000064
15,-0.012365542201863746,0.40776615022337603,0.19770030401075614,0.28433767754030115,0.14571627490055516,0.376187143340993,0.08663737352954501
16,-0.06217188538143684,0.5937366406308233,0.26578237762469326,0.4195480635828843,0.21420500842162885,0.547671817194586,0.15376568595819107
17,0.029217502009237544,0.3235567416635834,0.17638712183641048,0.24579055521962126,0.16475676204983397,0.29865231222010474,0.06940343338321078
18,-0.07858968042125213,0.40859831050152556,0.1650043150401367,0.21034297047634687,0.048480255713990894,0.3572700661095319,0.04533865543621016
19,-0.10282652164362692,0.2765275843827401,0.08685053136955659,0.1495420500086137,0.020047207992954542,0.2438650911650384,0.06269151863905711
20,0.02193202128225757,0.18658652387929572,0.10425927258077665,0.12879019790695362,0.06647230382884116,0.1722021806291175,0.02453092532617697
21,0.01331676167611509,0.20082301300030725,0.10706988733821117,0.13798461308962867,0.0710345277768772,0.185369736042274,0.0309147257514175
22,-0.07753934213688037,0.0918453876171431,0.007153022740131368,0.007802003551536999,-0.04106758861130152,0.05762326803873262,0.0006489808114056314
23,-0.1283332696028177,0.177312350599257,0.02448954049821965,0.022663438599761224,-0.06273300340906618,0.11455899335175374,-0.0018261018984584258
24,-0.07397700732848721,0.07501792439552661,0.0005204585335197021,-0.004755622972725219,-0.04505313305984999,0.03961787779270232,-0.005276081506244921
25,-0.07840792045125487,0.0912459124937057,0.0064189960212254135,0.0069749390722486275,-0.041976325842835505,0.056834927171190625,0.000555943051023214
26,-0.12739634527660387,0.06613016519615997,-0.030633090040221952,-0.040594877768996666,-0.09660063048565028,0.020621837091442587,-0.009961787728774714
27,-0.12200240236464262,0.09229965714035057,-0.014851372612146023,-0.02333260307370824,-0.08306783817091122,0.04034046226254628,-0.008481230461562218
28,-0.12488323109574823,0.07412481061481647,-0.025379210240465876,-0.04235482877957134,-0.09429054183531345,0.01574437861168351,-0.016975618539105466
29,-0.11039020143654055,0.07818373985270546,-0.01610323079191754,-0.025859630178899647,-0.07752999512557314,0.03002215176476036,-0.009756399386982105
30,-0.07185652942389008,0.04053790324601592,-0.015659313088937078,-0.022986909930668424,-0.053989896747246066,0.010889071187190647,-0.0073275968417313465
31,-0.09179090490467624,0.06373304466714905,-0.014028930118763598,-0.023260097837727266,-0.06530147748971457,0.022579916224481977,-0.009231167718963668
32,-0.09064376238795234,0.0865600321644614,-0.002041865111745471,-0.009877448267364971,-0.05719196576126394,0.042633661855945304,-0.0078355831556195
33,-0.059742893956394975,0.05228583578600068,-0.003728529085197149,-0.009721329359237483,-0.03933602501881732,0.0233625288309913,-0.005992800274040333
34,-0.04859581785792127,0.06830658137875051,0.00985538176041462,0.0088338317978483,-0.023742970385303007,0.04394282503238432,-0.0010215499625663201
35,-0.035626405283298794,0.057333758580554915,0.01085367664862806,0.01164677368564706,-0.014888148716409765,0.03967806244444096,0.0007930970370190003
36,-0.03457505058485287,0.06753727709074572,0.016481113252946426,0.018713374720253775,-0.011301559799406672,0.049731059700882464,0.0022322614673073483
